subjID,condition,low,moderate,hard
1,Encouraging,25,10,25
2,Encouraging,35,30,5
3,Encouraging,20,15,10
4,Encouraging,15,20,25
5,Encouraging,50,25,50
6,Encouraging,10,25,5
7,Encouraging,10,15,25
8,Encouraging,50,25,50
9,Encouraging,10,15,10
10,Encouraging,50,25,50
11,Encouraging,20,25,5
12,Encouraging,20,15,10
13,Encouraging,20,20,50
14,Encouraging,5,2,10
15,Encouraging,1,2,5
16,Encouraging,5,5,2
17,Encouraging,5,10,25
18,Encouraging,5,1,1
19,Encouraging,1,5,25
20,Encouraging,50,25,5
21,Encouraging,25,50,10
22,Encouraging,10,25,10
23,Quiet,2,2,2
24,Quiet,10,10,15
25,Quiet,10,10,20
26,Quiet,5,25,30
27,Quiet,10,2,2
28,Quiet,10,5,25
29,Quiet,1,5,2
30,Quiet,10,25,30
31,Quiet,5,2,10
32,Quiet,2,5,1
33,Quiet,10,25,5
34,Quiet,10,25,50
35,Quiet,5,15,25
36,Quiet,25,25,35
37,Quiet,10,5,5
38,Quiet,1,10,25
39,Quiet,5,15,25
40,Quiet,50,25,25
41,Quiet,25,5,50
42,Quiet,2,10,1
43,Quiet,2,2,5
44,Quiet,5,10,1
45,Quiet,5,5,5
46,Alone,2,2,2
47,Alone,5,5,5
48,Alone,5,10,25
49,Alone,25,25,25
50,Alone,5,10,25
51,Alone,5,5,10
52,Alone,10,10,10
53,Alone,1,15,25
54,Alone,1,5,10
55,Alone,5,10,50
56,Alone,2,5,5
57,Alone,5,2,50
58,Alone,25,25,25
59,Alone,1,10,2
60,Alone,2,5,5
61,Alone,5,5,5
62,Alone,1,2,1
63,Alone,5,1,1
64,Alone,10,5,10
65,Alone,10,25,10