ID,Orthographic,Phonological,Semantic,age,gender,nativeEnglish,ageEnglish
1,2,4,6,20,Female,No,13
2,8,2,6,19,Female,No,5
3,0,2,3,19,Female,Yes,0
4,4,7,10,19,Female,Yes,0
5,4,3,8,20,Female,Yes,11
6,0,3,4,20,Female,No,4
7,2,1,3,18,Female,Yes,0
8,7,5,9,19,Female,Yes,0
9,3,3,8,18,Male,No,10
10,4,7,2,19,Female,Yes,0
11,9,11,7,18,Female,Yes,4
12,3,6,0,19,Female,Yes,0
13,3,5,0,18,Female,Yes,0
14,0,3,3,19,Female,No,12
15,2,3,1,18,Female,Yes,0
16,3,4,7,21,Male,Yes,0
17,5,8,7,18,Male,Yes,0
18,4,3,3,23,Female,Yes,0
19,3,6,5,20,Female,Yes,0
20,1,6,3,22,Female,Yes,5
21,0,5,9,27,Female,Yes,0
22,5,10,11,21,Male,No,8
23,2,2,3,21,Female,Yes,0
24,4,6,5,21,Female,Yes,0
25,4,8,6,18,Female,Yes,0
26,3,4,5,26,Male,Yes,0
27,2,9,8,20,Female,Yes,0
28,5,2,3,21,Female,No,10
29,5,4,5,21,Genderfluid,Yes,0
30,5,6,5,20,Female,No,5
31,8,5,3,19,Female,No,6
32,0,2,5,27,Male,Yes,0
33,0,3,3,18,Female,Yes,0
34,2,4,3,21,Female,Yes,0
35,1,5,3,20,Female,Yes,0
36,0,4,6,19,Female,Yes,0
37,2,10,7,19,Male,Yes,0
38,3,4,4,23,Male,Yes,0
39,5,5,5,30,Female,Yes,0
40,6,5,5,19,Male,Yes,0
41,3,2,6,18,Female,Yes,0
42,2,1,3,20,Female,No,15
43,1,4,8,18,Female,No,6
44,1,2,5,20,Female,No,6
45,2,4,3,19,Female,No,7
46,3,4,5,19,Female,Yes,0
47,6,1,5,19,Female,No,5
48,2,3,1,20,Male,No,8
49,5,6,4,19,Female,Yes,0
50,6,6,1,18,Female,No,0
51,4,5,4,18,Female,Yes,0
52,3,5,5,19,Female,No,14
53,2,5,5,19,Female,Yes,0
54,4,4,9,21,Male,No,14
55,1,1,9,20,Female,Yes,0
56,3,5,0,19,Male,Yes,0
57,3,6,4,20,Female,Yes,0
58,2,4,11,18,Female,No,4
59,2,5,2,19,Female,Yes,0
60,3,3,7,18,Female,No,9
61,3,6,3,19,Female,Yes,0
62,2,2,4,23,Male,Yes,0
63,3,4,7,18,Female,No,6
64,1,4,6,19,Female,No,5
65,6,5,2,19,Male,Yes,0
66,3,3,3,20,Female,No,4
67,5,5,5,18,Female,Yes,0
68,3,6,5,21,Female,Yes,0
69,4,7,8,19,Female,Yes,3
70,1,4,6,19,Female,Yes,0
71,1,4,1,22,Female,Yes,0
72,4,11,2,19,Male,Yes,0
73,5,9,7,18,Female,Yes,0
74,3,6,3,19,Male,Yes,0
75,4,1,5,18,Male,No,5
76,4,0,3,20,Female,No,5