Subject,Condition,Timepoint,Correct,Misconceptions,Surprise,Confusion
1,Expository,Pretest,0,3,1,1
2,Expository,Pretest,1,1,2,1
3,Refutation,Pretest,0,2,1,3
4,Refutation,Pretest,3,2,3,1
5,Expository,Pretest,0,3,3,3
6,Refutation,Pretest,0,1,5,3
7,Expository,Pretest,4,0,2,2
8,Expository,Pretest,0,0,3,3
9,Refutation,Pretest,4,1,3,2
10,Refutation,Pretest,3,0,1,1
11,Expository,Pretest,1,0,1,1
12,Refutation,Pretest,0,0,2,1
13,Expository,Pretest,1,1,2,2
14,Refutation,Pretest,2,1,3,2
15,Expository,Pretest,0,2,3,2
16,Refutation,Pretest,2,2,2,1
17,Expository,Pretest,0,2,1,1
18,Refutation,Pretest,2,2,1,2
19,Expository,Pretest,1,3,3,1
20,Refutation,Pretest,3,2,2,1
21,Expository,Pretest,2,2,2,1
22,Expository,Pretest,1,1,2,1
23,Refutation,Pretest,0,2,2,1
24,Expository,Pretest,1,2,3,3
25,Refutation,Pretest,1,1,2,1
26,Refutation,Pretest,1,2,3,1
27,Expository,Pretest,2,2,1,1
28,Refutation,Pretest,2,2,3,1
29,Expository,Pretest,2,1,3,3
30,Expository,Pretest,0,2,3,3
31,Refutation,Pretest,2,0,1,1
32,Expository,Pretest,2,2,2,2
33,Refutation,Pretest,3,1,2,1
34,Expository,Pretest,3,1,2,2
35,Refutation,Pretest,1,2,4,2
36,Refutation,Pretest,1,1,2,2
37,Expository,Pretest,2,2,2,2
38,Expository,Pretest,0,3,3,1
39,Refutation,Pretest,2,1,1,1
40,Expository,Pretest,1,2,2,1
41,Refutation,Pretest,0,3,2,1
42,Expository,Pretest,2,1,2,2
43,Refutation,Pretest,2,1,1,1
44,Expository,Pretest,2,1,3,2
45,Refutation,Pretest,0,2,1,1
46,Expository,Pretest,0,1,3,2
47,Refutation,Pretest,0,3,3,1
48,Refutation,Pretest,1,1,3,2
49,Refutation,Pretest,2,1,1,2
50,Expository,Pretest,3,1,3,2
51,Expository,Pretest,1,3,1,1
52,Refutation,Pretest,0,2,3,3
53,Expository,Pretest,3,1,2,1
55,Expository,Pretest,1,2,4,2
56,Refutation,Pretest,0,2,3,1
57,Expository,Pretest,3,0,3,2
58,Expository,Pretest,2,1,1,2
59,Refutation,Pretest,2,1,1,1
60,Refutation,Pretest,0,4,2,1
61,Expository,Pretest,1,1,3,2
62,Expository,Pretest,1,1,2,2
63,Refutation,Pretest,2,2,1,1
64,Refutation,Pretest,1,1,2,2
65,Expository,Pretest,0,2,2,3
66,Expository,Pretest,2,2,3,2
67,Refutation,Pretest,2,0,3,1
68,Refutation,Pretest,1,2,3,2
69,Expository,Pretest,1,1,1,1
70,Expository,Pretest,0,2,4,3
71,Refutation,Pretest,2,1,1,1
72,Expository,Pretest,1,2,3,3
73,Refutation,Pretest,1,2,1,1
74,Refutation,Pretest,2,2,2,1
75,Expository,Pretest,3,1,1,1
76,Expository,Pretest,1,1,1,1
77,Refutation,Pretest,3,1,1,2
78,Refutation,Pretest,0,2,4,1
79,Expository,Pretest,2,0,4,3
80,Expository,Pretest,0,5,2,3
81,Refutation,Pretest,2,1,1,1
83,Expository,Pretest,0,1,4,4
84,Refutation,Pretest,0,4,3,2
85,Expository,Pretest,2,2,2,1
86,Refutation,Pretest,0,2,4,3
87,Expository,Pretest,3,0,1,1
88,Refutation,Pretest,0,1,3,4
89,Expository,Pretest,0,2,4,2
90,Refutation,Pretest,2,2,1,1
91,Expository,Pretest,1,1,4,2
92,Refutation,Pretest,0,2,2,2
93,Expository,Pretest,0,2,3,2
94,Expository,Pretest,0,1,2,2
95,Refutation,Pretest,0,2,4,1
96,Refutation,Pretest,0,3,2,1
1,Expository,Posttest,5,0,1,1
2,Expository,Posttest,4,2,2,1
3,Refutation,Posttest,3,0,1,3
4,Refutation,Posttest,5,0,3,1
5,Expository,Posttest,5,0,3,3
6,Refutation,Posttest,2,1,5,3
7,Expository,Posttest,5,0,2,2
8,Expository,Posttest,0,2,3,3
9,Refutation,Posttest,4,1,3,2
10,Refutation,Posttest,2,0,1,1
11,Expository,Posttest,3,0,1,1
12,Refutation,Posttest,4,0,2,1
13,Expository,Posttest,4,2,2,2
14,Refutation,Posttest,3,0,3,2
15,Expository,Posttest,4,1,3,2
16,Refutation,Posttest,4,0,2,1
17,Expository,Posttest,3,1,1,1
18,Refutation,Posttest,4,0,1,2
19,Expository,Posttest,2,2,3,1
20,Refutation,Posttest,3,0,2,1
21,Expository,Posttest,2,2,2,1
22,Expository,Posttest,4,0,2,1
23,Refutation,Posttest,4,0,2,1
24,Expository,Posttest,1,2,3,3
25,Refutation,Posttest,4,0,2,1
26,Refutation,Posttest,6,0,3,1
27,Expository,Posttest,3,3,1,1
28,Refutation,Posttest,4,1,3,1
29,Expository,Posttest,4,0,3,3
30,Expository,Posttest,4,0,3,3
31,Refutation,Posttest,4,1,1,1
32,Expository,Posttest,1,2,2,2
33,Refutation,Posttest,3,0,2,1
34,Expository,Posttest,5,0,2,2
35,Refutation,Posttest,3,0,4,2
36,Refutation,Posttest,4,0,2,2
37,Expository,Posttest,1,2,2,2
38,Expository,Posttest,4,1,3,1
39,Refutation,Posttest,5,1,1,1
40,Expository,Posttest,2,1,2,1
41,Refutation,Posttest,3,2,2,1
42,Expository,Posttest,1,1,2,2
43,Refutation,Posttest,5,0,1,1
44,Expository,Posttest,2,0,3,2
45,Refutation,Posttest,3,0,1,1
46,Expository,Posttest,4,0,3,2
47,Refutation,Posttest,3,0,3,1
48,Refutation,Posttest,2,1,3,2
49,Refutation,Posttest,3,0,1,2
50,Expository,Posttest,3,0,3,2
51,Expository,Posttest,4,1,1,1
52,Refutation,Posttest,3,0,3,3
53,Expository,Posttest,2,0,2,1
55,Expository,Posttest,2,0,4,2
56,Refutation,Posttest,5,0,3,1
57,Expository,Posttest,3,0,3,2
58,Expository,Posttest,2,1,1,2
59,Refutation,Posttest,4,0,1,1
60,Refutation,Posttest,4,1,2,1
61,Expository,Posttest,3,0,3,2
62,Expository,Posttest,2,1,2,2
63,Refutation,Posttest,5,0,1,1
64,Refutation,Posttest,2,1,2,2
65,Expository,Posttest,2,2,2,3
66,Expository,Posttest,5,0,3,2
67,Refutation,Posttest,3,0,3,1
68,Refutation,Posttest,4,0,3,2
69,Expository,Posttest,3,2,1,1
70,Expository,Posttest,2,2,4,3
71,Refutation,Posttest,3,0,1,1
72,Expository,Posttest,2,0,3,3
73,Refutation,Posttest,3,1,1,1
74,Refutation,Posttest,6,0,2,1
75,Expository,Posttest,4,0,1,1
76,Expository,Posttest,4,1,1,1
77,Refutation,Posttest,3,0,1,2
78,Refutation,Posttest,5,1,4,1
79,Expository,Posttest,4,0,4,3
80,Expository,Posttest,0,2,2,3
81,Refutation,Posttest,5,0,1,1
83,Expository,Posttest,1,2,4,4
84,Refutation,Posttest,5,0,3,2
85,Expository,Posttest,4,0,2,1
86,Refutation,Posttest,3,2,4,3
87,Expository,Posttest,3,3,1,1
88,Refutation,Posttest,2,1,3,4
89,Expository,Posttest,3,0,4,2
90,Refutation,Posttest,4,1,1,1
91,Expository,Posttest,3,0,4,2
92,Refutation,Posttest,3,1,2,2
93,Expository,Posttest,2,0,3,2
94,Expository,Posttest,1,2,2,2
95,Refutation,Posttest,4,0,4,1
96,Refutation,Posttest,5,0,2,1